CUMHURBAÞKANI VE 28.DÖNEM MÝLLETVEKÝLÝ GENEL SEÇÝMÝ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ýl Id;Ýl Adý;Kayýtlý Seçmen Sayýsý;Oy Kullanan Seçmen Sayýsý;Geçerli Oy Toplamý;MÝLLET;HAK-PAR;TKP;TKH;SOL PARTÝ;GENÇPARTÝ;MEMLEKET;BBP;AK PARTÝ;YENÝDEN REFAH;MHP;YEÞÝL SOL PARTÝ;TÝP;AB;ANAP;YP;HKP;MÝLLÝ YOL;VATAN PARTÝSÝ;GBP;CHP;ÝYÝ PARTÝ;AP;ZAFER PARTÝSÝ;SOSYALÝST GÜÇ BÝRLÝÐÝ ÝTTÝFAKI;CUMHUR ÝTTÝFAKI;EMEK VE ÖZGÜRLÜK ÝTTÝFAKI;MÝLLET ÝTTÝFAKI;ATA ÝTTÝFAKI;BAÐIMSIZ TOPLAM OY
;Oy Oraný;;;;%0.07;%0.04;%0.11;%0.02;%0.11;%0.24;%0.99;%0.7;%37.71;%3.87;%5.56;%7.37;%3.7;%0.07;%0.13;%0.01;%0.03;%0.02;%0.06;%0.05;%26.36;%8.65;%0.22;%2.86;0%;%0.47;%0.01;%0.32;%0.01;%0.1
34;ÝSTANBUL-3;4.049.135;3.645.354;3.556.584;2.846;1.527;3.373;947;5.128;8.710;35.638;24.697;1.251.454;111.920;228.023;380.027;132.485;3.549;4.777;0;1.347;1.028;2.412;2.082;930.352;288.129;0;103.850;100;15.140;761;10.595;39;5.648
;Oy Oraný;;;;%0.08;%0.04;%0.09;%0.02;%0.14;%0.24;1%;%0.69;%35.18;%3.14;%6.41;%10.68;%3.72;%0.09;%0.13;0%;%0.03;%0.02;%0.06;%0.05;%26.15;%8.1;0%;%2.91;0%;%0.42;%0.02;%0.29;0%;%0.15
35;ÝZMÝR-1;1.694.741;1.517.909;1.486.087;1.337;714;4.498;823;2.480;6.667;18.060;7.034;365.417;12.163;68.652;134.381;0;1.429;1.762;279;684;335;1.644;1.600;624.553;178.748;3.812;34.721;68;4.852;47;8.419;242;666
;Oy Oraný;;;;%0.08;%0.04;%0.3;%0.05;%0.16;%0.44;%1.21;%0.47;%24.58;%0.81;%4.61;%9.04;0%;%0.09;%0.11;%0.01;%0.04;%0.02;%0.11;%0.1;%42.02;%12.02;%0.25;%2.33;0%;%0.32;0%;%0.56;%0.01;%0.04
35;ÝZMÝR-2;1.750.764;1.592.061;1.553.179;1.639;932;2.777;667;1.852;5.964;18.144;6.892;374.190;14.376;86.707;92.075;85.103;1.555;2.121;295;833;456;1.793;1.481;623.362;171.799;4.037;36.956;63;5.141;243;8.220;239;3.267
;Oy Oraný;;;;%0.1;%0.06;%0.17;%0.04;%0.11;%0.38;%1.16;%0.44;%24.09;%0.92;%5.58;%5.92;%5.47;%0.1;%0.13;%0.01;%0.05;%0.02;%0.11;%0.09;%40.13;%11.06;%0.25;%2.37;0%;%0.33;%0.01;%0.52;%0.01;%0.21
46;KAHRAMANMARAÞ;753.538;643.623;627.604;514;630;516;188;286;706;4.527;9.884;296.287;34.455;101.159;7.264;0;0;1.035;144;459;1.541;445;339;99.919;44.594;1.604;10.810;9;5.451;8;1.065;47;3.718
;Oy Oraný;;;;%0.08;%0.1;%0.08;%0.02;%0.04;%0.11;%0.72;%1.57;%47.2;%5.48;%16.11;%1.15;0%;0%;%0.16;%0.02;%0.07;%0.24;%0.07;%0.05;%15.92;%7.1;%0.25;%1.72;0%;%0.86;0%;%0.16;0%;%0.59
78;KARABÜK;182.049;163.135;158.127;153;207;105;48;127;330;1.646;673;58.500;13.201;25.158;632;517;356;384;58;115;180;127;106;34.300;15.438;728;3.324;14;1.193;5;483;19;0
;Oy Oraný;;;;%0.09;%0.13;%0.06;%0.03;%0.08;%0.2;%1.04;%0.42;%36.99;%8.34;%15.9;%0.39;%0.32;%0.22;%0.24;%0.03;%0.07;%0.11;%0.08;%0.06;%21.69;%9.76;%0.46;%2.1;0%;%0.75;0%;%0.3;%0.01;0%
70;KARAMAN;188.052;168.690;163.674;185;175;183;72;106;307;1.519;4.394;66.200;3.715;29.609;803;444;269;263;44;158;0;142;94;31.058;18.005;560;3.081;12;1.335;2;464;17;458
;Oy Oraný;;;;%0.11;%0.1;%0.11;%0.04;%0.06;%0.18;%0.92;%2.68;%40.44;%2.26;%18.09;%0.49;%0.27;%0.16;%0.16;%0.02;%0.09;0%;%0.08;%0.05;%18.97;11%;%0.34;%1.88;0%;%0.81;0%;%0.28;%0.01;%0.27
36;KARS;185.196;147.343;141.217;114;131;216;77;738;173;753;847;35.030;2.757;13.494;40.227;0;362;0;79;185;118;159;167;22.698;21.327;386;0;10;693;0;472;4;0
;Oy Oraný;;;;%0.08;%0.09;%0.15;%0.05;%0.52;%0.12;%0.53;%0.59;%24.8;%1.95;%9.55;%28.48;0%;%0.25;0%;%0.05;%0.13;%0.08;%0.11;%0.11;%16.07;%15.1;%0.27;0%;0%;%0.49;0%;%0.33;0%;0%
37;KASTAMONU;295.628;260.353;251.359;342;395;245;111;110;467;1.937;2.276;112.858;10.232;37.593;543;0;0;1.139;64;343;159;289;188;54.027;19.289;1.356;4.432;21;2.141;5;689;35;73
;Oy Oraný;;;;%0.13;%0.15;%0.09;%0.04;%0.04;%0.18;%0.77;%0.9;%44.89;%4.07;%14.95;%0.21;0%;0%;%0.45;%0.02;%0.13;%0.06;%0.11;%0.07;%21.49;%7.67;%0.53;%1.76;0%;%0.85;0%;%0.27;%0.01;%0.02
38;KAYSERÝ;1.026.972;934.543;915.750;918;460;477;136;326;1.283;8.335;17.477;367.170;32.291;174.332;7.600;3.543;0;0;308;419;653;1.050;0;154.550;92.555;0;29.838;14;7.484;65;2.152;5;12.309
;Oy Oraný;;;;%0.1;%0.05;%0.05;%0.01;%0.03;%0.14;%0.91;%1.9;%40.09;%3.52;%19.03;%0.82;%0.38;0%;0%;%0.03;%0.04;%0.07;%0.11;0%;%16.87;%10.1;0%;%3.25;0%;%0.81;0%;%0.23;0%;%1.34
71;KIRIKKALE;203.290;180.995;176.696;106;84;67;39;40;171;829;1.163;61.360;3.214;37.436;528;0;0;465;33;101;104;186;0;46.759;18.074;447;2.718;11;1.806;7;555;18;375
;Oy Oraný;;;;%0.05;%0.04;%0.03;%0.02;%0.02;%0.09;%0.46;%0.65;%34.72;%1.81;%21.18;%0.29;0%;0%;%0.26;%0.01;%0.05;%0.05;%0.1;0%;%26.46;%10.22;%0.25;%1.53;0%;%1.02;0%;%0.31;%0.01;%0.21
39;KIRKLARELÝ;291.771;265.941;260.359;283;236;246;75;341;1.082;2.363;1.299;63.582;1.701;12.022;4.435;4.566;234;484;60;226;137;234;289;118.732;40.142;709;4.059;5;609;6;2.047;24;131
;Oy Oraný;;;;%0.1;%0.09;%0.09;%0.02;%0.13;%0.41;%0.9;%0.49;%24.42;%0.65;%4.61;%1.7;%1.75;%0.08;%0.18;%0.02;%0.08;%0.05;%0.08;%0.11;%45.6;%15.41;%0.27;%1.55;0%;%0.23;0%;%0.78;0%;%0.05
40;KIRÞEHÝR;174.209;152.511;148.589;116;108;128;33;132;117;1.114;1.475;56.806;2.372;21.997;3.677;589;0;396;31;89;209;85;150;43.280;10.797;536;2.900;8;923;12;493;16;0
;Oy Oraný;;;;%0.07;%0.07;%0.08;%0.02;%0.08;%0.07;%0.74;%0.99;%38.23;%1.59;%14.8;%2.47;%0.39;0%;%0.26;%0.02;%0.05;%0.14;%0.05;%0.1;%29.12;%7.26;%0.36;%1.95;0%;%0.62;0%;%0.33;%0.01;0%
79;KÝLÝS;97.198;86.337;84.073;78;46;71;15;28;133;582;364;32.719;1.968;22.604;724;0;94;123;21;45;0;41;56;16.758;4.861;138;1.598;24;833;0;142;7;0
;Oy Oraný;;;;%0.09;%0.05;%0.08;%0.01;%0.03;%0.15;%0.69;%0.43;%38.91;%2.34;%26.88;%0.86;0%;%0.11;%0.14;%0.02;%0.05;0%;%0.04;%0.06;%19.93;%5.78;%0.16;%1.9;%0.02;%0.99;0%;%0.16;0%;0%
41;KOCAELÝ;1.516.293;1.388.095;1.359.568;1.442;776;2.160;538;1.438;3.896;16.826;15.287;531.740;79.279;112.123;77.057;0;1.427;0;303;620;920;1.613;0;322.524;130.522;3.931;43.088;49;7.218;38;4.559;194;0
;Oy Oraný;;;;%0.1;%0.05;%0.15;%0.03;%0.1;%0.28;%1.23;%1.12;%39.11;%5.83;%8.24;%5.66;0%;%0.1;0%;%0.02;%0.04;%0.06;%0.11;0%;%23.72;%9.6;%0.28;%3.16;0%;%0.53;0%;%0.33;%0.01;0%
42;KONYA;1.630.438;1.453.918;1.415.892;1.622;1.035;817;270;1.027;0;12.574;28.814;674.006;72.931;202.108;36.133;4.565;0;2.494;0;930;0;830;679;187.182;123.996;5.075;42.301;53;9.666;80;2.909;225;3.570
;Oy Oraný;;;;%0.11;%0.07;%0.05;%0.01;%0.07;0%;%0.88;%2.03;%47.6;%5.15;%14.27;%2.55;%0.32;0%;%0.17;0%;%0.06;0%;%0.05;%0.04;%13.22;%8.75;%0.35;%2.98;0%;%0.68;0%;%0.2;%0.01;%0.25
43;KÜTAHYA;430.548;395.958;385.562;711;476;238;134;118;668;2.947;4.564;178.284;27.636;49.940;1.031;969;0;1.010;0;331;0;454;0;63.323;40.917;1.469;6.648;12;2.653;8;981;40;0
;Oy Oraný;;;;%0.18;%0.12;%0.06;%0.03;%0.03;%0.17;%0.76;%1.18;%46.24;%7.16;%12.95;%0.26;%0.25;0%;%0.26;0%;%0.08;0%;%0.11;0%;%16.42;%10.61;%0.38;%1.72;0%;%0.68;0%;%0.25;%0.01;0%
44;MALATYA;531.448;434.168;425.215;249;248;361;127;547;0;1.918;5.738;190.282;39.912;54.607;12.685;0;0;1.120;0;240;137;303;183;90.949;16.664;0;4.805;15;2.704;32;609;0;780
;Oy Oraný;;;;%0.05;%0.05;%0.08;%0.02;%0.12;0%;%0.45;%1.34;%44.74;%9.38;%12.84;%2.98;0%;0%;%0.26;0%;%0.05;%0.03;%0.07;%0.04;%21.38;%3.91;0%;%1.13;0%;%0.63;0%;%0.14;0%;%0.18
45;MANÝSA;1.107.246;1.018.436;987.647;1.266;1.112;1.519;418;1.058;3.136;9.915;13.135;304.748;15.264;137.929;55.699;0;0;0;363;871;746;1.580;0;289.007;110.325;3.743;22.093;35;7.386;16;4.986;131;1.166
;Oy Oraný;;;;%0.12;%0.11;%0.15;%0.04;%0.1;%0.31;1%;%1.32;%30.85;%1.54;%13.96;%5.63;0%;0%;0%;%0.03;%0.08;%0.07;%0.15;0%;%29.26;%11.17;%0.37;%2.23;0%;%0.74;0%;%0.5;%0.01;%0.11
47;MARDÝN;542.046;448.603;432.253;181;579;256;104;2.030;247;1.127;682;105.053;4.820;13.800;242.557;0;675;439;69;171;96;214;321;28.317;4.804;0;2.076;39;1.060;2;193;1;22.340
;Oy Oraný;;;;%0.04;%0.13;%0.05;%0.02;%0.46;%0.05;%0.26;%0.15;%24.3;%1.11;%3.19;%56.11;0%;%0.15;%0.1;%0.01;%0.03;%0.02;%0.04;%0.07;%6.55;%1.11;0%;%0.48;0%;%0.24;0%;%0.04;0%;%5.16
33;MERSÝN;1.380.533;1.234.541;1.206.319;959;799;1.204;310;1.930;2.620;8.571;5.404;289.043;10.721;143.041;160.674;23.998;1.220;0;199;541;0;864;832;371.950;144.623;2.574;22.013;59;6.231;323;5.400;133;83
;Oy Oraný;;;;%0.07;%0.06;%0.09;%0.02;%0.15;%0.21;%0.71;%0.44;%23.96;%0.88;%11.85;%13.31;%1.98;%0.1;0%;%0.01;%0.04;0%;%0.07;%0.06;%30.83;%11.98;%0.21;%1.82;0%;%0.51;%0.02;%0.44;%0.01;0%
48;MUÐLA;806.442;727.353;708.773;724;609;1.162;248;786;2.273;8.736;1.953;167.240;4.259;42.772;23.559;40.431;0;1.122;180;467;254;1.496;0;266.671;122.550;2.306;11.947;22;2.033;102;4.624;76;171
;Oy Oraný;;;;%0.1;%0.08;%0.16;%0.03;%0.11;%0.32;%1.23;%0.27;%23.59;%0.6;%6.03;%3.32;%5.7;0%;%0.15;%0.02;%0.06;%0.03;%0.21;0%;%37.62;%17.29;%0.32;%1.68;0%;%0.28;%0.01;%0.65;%0.01;%0.02
49;MUÞ;242.647;191.078;183.792;137;367;161;79;1.192;217;658;655;37.184;5.220;30.195;94.704;0;0;542;140;167;0;211;272;0;10.275;305;0;26;1.085;0;0;0;0
;Oy Oraný;;;;%0.07;%0.19;%0.08;%0.04;%0.64;%0.11;%0.35;%0.35;%20.23;%2.84;%16.42;%51.52;0%;0%;%0.29;%0.07;%0.09;0%;%0.11;%0.14;0%;%5.59;%0.16;0%;%0.01;%0.59;0%;0%;0%;0%
50;NEVÞEHÝR;225.497;204.104;199.220;120;141;119;49;106;165;1.005;1.778;77.465;4.002;40.585;973;767;0;428;38;121;0;231;0;34.129;31.921;616;2.552;4;1.292;7;596;10;0
;Oy Oraný;;;;%0.06;%0.07;%0.05;%0.02;%0.05;%0.08;%0.5;%0.89;%38.88;2%;%20.37;%0.48;%0.38;0%;%0.21;%0.01;%0.06;0%;%0.11;0%;%17.13;%16.02;%0.3;%1.28;0%;%0.64;0%;%0.29;0%;0%
51;NÝÐDE;258.263;228.063;222.259;189;200;121;59;81;223;1.394;1.244;73.457;5.848;49.847;993;460;0;337;35;151;69;221;184;53.239;27.442;610;3.252;12;1.857;19;693;22;0
;Oy Oraný;;;;%0.08;%0.08;%0.05;%0.02;%0.03;%0.1;%0.62;%0.55;%33.05;%2.63;%22.42;%0.44;%0.2;0%;%0.15;%0.01;%0.06;%0.03;%0.09;%0.08;%23.95;%12.34;%0.27;%1.46;0%;%0.83;0%;%0.31;0%;0%
52;ORDU;590.852;517.740;500.069;530;1.169;445;203;443;0;3.884;4.054;223.217;11.459;63.024;992;1.730;0;2.222;138;571;0;554;403;120.083;49.453;2.139;7.093;39;4.318;17;1.831;58;0
;Oy Oraný;;;;%0.1;%0.23;%0.08;%0.04;%0.08;0%;%0.77;%0.81;%44.63;%2.29;%12.6;%0.19;%0.34;0%;%0.44;%0.02;%0.11;0%;%0.11;%0.08;%24.01;%9.88;%0.42;%1.41;0%;%0.86;0%;%0.36;%0.01;0%
80;OSMANÝYE;386.647;339.200;331.910;265;191;237;83;156;641;2.047;1.882;107.224;6.445;94.925;6.624;940;368;0;55;368;0;389;0;56.292;42.311;0;5.731;11;3.417;28;892;3;385
;Oy Oraný;;;;%0.07;%0.05;%0.07;%0.02;%0.04;%0.19;%0.61;%0.56;%32.3;%1.94;%28.59;%1.99;%0.28;%0.11;0%;%0.01;%0.11;0%;%0.11;0%;%16.96;%12.74;0%;%1.72;0%;%1.02;0%;%0.26;0%;%0.11
53;RÝZE;265.362;236.421;231.469;244;281;156;58;165;275;2.386;3.665;123.311;11.885;29.939;689;683;0;1.407;48;166;123;163;148;49.450;0;939;4.050;9;1.180;21;0;28;0
;Oy Oraný;;;;%0.1;%0.12;%0.06;%0.02;%0.07;%0.11;%1.03;%1.58;%53.27;%5.13;%12.93;%0.29;%0.29;0%;%0.6;%0.02;%0.07;%0.05;%0.07;%0.06;%21.36;0%;%0.4;%1.74;0%;%0.5;0%;0%;%0.01;0%
54;SAKARYA;784.638;718.606;704.094;760;428;397;95;341;4.065;7.141;6.424;330.681;35.423;83.999;10.268;3.702;720;0;131;402;327;725;0;112.376;77.725;2.312;18.736;23;4.524;38;2.242;89;0
;Oy Oraný;;;;%0.1;%0.06;%0.05;%0.01;%0.04;%0.57;%1.01;%0.91;%46.96;%5.03;%11.93;%1.45;%0.52;%0.1;0%;%0.01;%0.05;%0.04;%0.1;0%;%15.96;%11.03;%0.32;%2.66;0%;%0.64;0%;%0.31;%0.01;0%
55;SAMSUN;1.024.653;915.707;891.297;1.171;900;923;253;456;1.866;9.599;12.224;372.755;35.770;126.144;2.493;5.583;1.541;2.322;0;715;0;722;399;172.977;108.800;0;19.545;36;7.459;50;3.306;10;3.278
;Oy Oraný;;;;%0.13;%0.1;%0.1;%0.02;%0.05;%0.2;%1.07;%1.37;%41.82;%4.01;%14.15;%0.27;%0.62;%0.17;%0.26;0%;%0.08;0%;%0.08;%0.04;%19.4;%12.2;0%;%2.19;0%;%0.83;0%;%0.37;0%;%0.36
56;SÝÝRT;201.853;168.261;160.199;75;198;128;60;710;133;739;442;56.688;1.880;5.804;76.719;0;317;215;0;136;0;147;0;11.467;2.272;230;0;11;471;1;88;0;1.268
;Oy Oraný;;;;%0.04;%0.12;%0.07;%0.03;%0.44;%0.08;%0.46;%0.27;%35.38;%1.17;%3.62;%47.88;0%;%0.19;%0.13;0%;%0.08;0%;%0.09;0%;%7.15;%1.41;%0.14;0%;0%;%0.29;0%;%0.05;0%;%0.79
57;SÝNOP;171.843;150.847;144.801;230;450;214;103;106;242;1.367;6.477;60.911;3.255;12.941;494;1.110;0;438;193;237;0;225;156;36.835;13.743;956;2.166;13;1.251;7;660;21;0
;Oy Oraný;;;;%0.15;%0.31;%0.14;%0.07;%0.07;%0.16;%0.94;%4.47;%42.06;%2.24;%8.93;%0.34;%0.76;0%;%0.3;%0.13;%0.16;0%;%0.15;%0.1;%25.43;%9.49;%0.66;%1.49;0%;%0.86;0%;%0.45;%0.01;0%
58;SÝVAS;460.697;411.022;403.906;244;263;222;75;162;0;2.075;41.064;161.382;13.925;72.782;1.723;1.509;0;0;59;171;962;216;310;64.534;29.554;0;7.307;14;3.852;21;808;5;667
;Oy Oraný;;;;%0.06;%0.06;%0.05;%0.01;%0.04;0%;%0.51;%10.16;%39.95;%3.44;%18.01;%0.42;%0.37;0%;0%;%0.01;%0.04;%0.23;%0.05;%0.07;%15.97;%7.31;0%;%1.8;0%;%0.95;0%;%0.2;0%;%0.16
63;ÞANLIURFA;1.221.634;999.527;956.187;638;805;697;263;3.290;0;3.712;4.157;406.246;28.289;88.632;242.215;0;1.252;1.092;0;443;736;523;643;71.338;43.645;0;0;49;5.392;18;713;0;51.399
;Oy Oraný;;;;%0.06;%0.08;%0.07;%0.02;%0.34;0%;%0.38;%0.43;%42.48;%2.95;%9.26;%25.33;0%;%0.13;%0.11;0%;%0.04;%0.07;%0.05;%0.06;%7.46;%4.56;0%;0%;0%;%0.56;0%;%0.07;0%;%5.37
73;ÞIRNAK;324.504;274.516;264.922;72;347;158;89;1.158;175;943;373;54.283;1.518;5.682;170.695;0;462;215;73;110;0;142;205;21.587;2.837;211;3.020;15;445;2;97;8;0
;Oy Oraný;;;;%0.02;%0.13;%0.05;%0.03;%0.43;%0.06;%0.35;%0.14;%20.49;%0.57;%2.14;%64.43;0%;%0.17;%0.08;%0.02;%0.04;0%;%0.05;%0.07;%8.14;%1.07;%0.07;%1.13;0%;%0.16;0%;%0.03;0%;0%
59;TEKÝRDAÐ;858.412;777.114;758.560;760;652;661;205;753;3.951;9.732;4.085;227.508;11.998;47.306;45.995;11.781;564;0;0;507;0;1.171;0;275.072;85.690;1.842;17.558;25;2.604;114;4.275;65;3.686
;Oy Oraný;;;;%0.1;%0.08;%0.08;%0.02;%0.09;%0.52;%1.28;%0.53;%29.99;%1.58;%6.23;%6.06;%1.55;%0.07;0%;0%;%0.06;0%;%0.15;0%;%36.26;%11.29;%0.24;%2.31;0%;%0.34;%0.01;%0.56;0%;%0.48
60;TOKAT;439.905;398.965;390.636;429;345;205;67;242;0;2.081;11.097;143.158;9.065;86.501;1.197;1.211;0;809;0;276;0;236;216;79.587;43.657;0;5.439;17;3.461;16;1.323;1;0
;Oy Oraný;;;;%0.1;%0.08;%0.05;%0.01;%0.06;0%;%0.53;%2.84;%36.64;%2.32;%22.14;%0.3;%0.31;0%;%0.2;0%;%0.07;0%;%0.06;%0.05;%20.37;%11.17;0%;%1.39;0%;%0.88;0%;%0.33;0%;0%
61;TRABZON;612.170;545.689;533.167;580;667;275;136;275;0;4.576;8.227;252.941;24.324;57.206;1.597;1.339;0;0;173;397;0;590;0;94.283;65.444;1.817;9.903;32;3.184;15;1.411;61;3.714
;Oy Oraný;;;;%0.1;%0.12;%0.05;%0.02;%0.05;0%;%0.85;%1.54;%47.44;%4.56;%10.72;%0.29;%0.25;0%;0%;%0.03;%0.07;0%;%0.11;0%;%17.68;%12.27;%0.34;%1.85;0%;%0.59;0%;%0.26;%0.01;%0.69
62;TUNCELÝ;65.578;57.236;56.010;29;47;140;72;702;61;263;165;6.762;547;3.006;24.571;0;0;80;27;26;13;39;44;17.996;1.234;59;0;3;53;0;71;0;0
;Oy Oraný;;;;%0.05;%0.08;%0.24;%0.12;%1.25;%0.1;%0.46;%0.29;%12.07;%0.97;%5.36;%43.86;0%;0%;%0.14;%0.04;%0.04;%0.02;%0.06;%0.07;%32.12;%2.2;%0.1;0%;0%;%0.09;0%;%0.12;0%;0%
64;UÞAK;280.741;255.490;247.618;247;220;139;62;321;619;2.172;1.619;87.692;3.494;22.803;3.216;851;299;529;0;210;0;405;0;71.639;43.858;871;4.025;7;1.113;12;1.171;24;0
;Oy Oraný;;;;%0.09;%0.08;%0.05;%0.02;%0.12;%0.24;%0.87;%0.65;%35.41;%1.41;%9.2;%1.29;%0.34;%0.12;%0.21;0%;%0.08;0%;%0.16;0%;%28.93;%17.71;%0.35;%1.62;0%;%0.44;0%;%0.47;0%;0%
65;VAN;707.861;556.622;529.624;277;865;747;281;3.231;0;2.553;4.429;132.620;16.656;25.514;287.429;0;0;0;0;1.041;276;542;0;43.459;0;0;4.101;66;2.972;0;0;0;2.565
;Oy Oraný;;;;%0.05;%0.16;%0.14;%0.05;%0.61;0%;%0.48;%0.83;%25.04;%3.14;%4.81;%54.27;0%;0%;0%;0%;%0.19;%0.05;%0.1;0%;%8.2;0%;0%;%0.77;%0.01;%0.56;0%;0%;0%;%0.48
77;YALOVA;204.857;178.510;174.301;255;99;120;34;191;418;4.914;1.123;58.467;3.684;19.620;9.789;1.774;157;364;26;89;65;140;132;49.891;16.781;508;4.030;3;889;22;690;26;0
;Oy Oraný;;;;%0.14;%0.05;%0.06;%0.01;%0.1;%0.23;%2.81;%0.64;%33.54;%2.11;%11.25;%5.61;%1.01;%0.09;%0.2;%0.01;%0.05;%0.03;%0.08;%0.07;%28.62;%9.62;%0.29;%2.31;0%;%0.51;%0.01;%0.39;%0.01;0%
66;YOZGAT;300.575;260.376;255.131;337;285;172;58;244;293;1.286;4.199;109.487;11.216;58.930;884;474;0;953;60;250;0;340;0;0;59.685;0;3.323;13;2.619;15;4;4;0
;Oy Oraný;;;;%0.13;%0.11;%0.06;%0.02;%0.09;%0.11;%0.5;%1.64;%42.91;%4.39;%23.09;%0.34;%0.18;0%;%0.37;%0.02;%0.09;0%;%0.13;0%;0%;%23.39;0%;%1.3;0%;%1.02;0%;0%;0%;0%
67;ZONGULDAK;457.832;408.820;392.013;638;649;364;168;298;1.136;3.530;3.338;155.104;9.850;32.436;1.287;1.798;836;1.241;148;420;0;602;332;125.553;39.469;2.078;7.064;17;1.731;10;1.721;74;121
;Oy Oraný;;;;%0.16;%0.16;%0.09;%0.04;%0.07;%0.28;%0.9;%0.85;%39.56;%2.51;%8.27;%0.32;%0.45;%0.21;%0.31;%0.03;%0.1;0%;%0.15;%0.08;%32.02;%10.06;%0.53;%1.8;0%;%0.44;0%;%0.43;%0.01;%0.03
