CUMHURBAÞKANI VE 28.DÖNEM MÝLLETVEKÝLÝ GENEL SEÇÝMÝ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ýl Id;Ýl Adý;Kayýtlý Seçmen Sayýsý;Oy Kullanan Seçmen Sayýsý;Geçerli Oy Toplamý;MÝLLET;HAK-PAR;TKP;TKH;SOL PARTÝ;GENÇPARTÝ;MEMLEKET;BBP;AK PARTÝ;YENÝDEN REFAH;MHP;YEÞÝL SOL PARTÝ;TÝP;AB;ANAP;YP;HKP;MÝLLÝ YOL;VATAN PARTÝSÝ;GBP;CHP;ÝYÝ PARTÝ;AP;ZAFER PARTÝSÝ;SOSYALÝST GÜÇ BÝRLÝÐÝ ÝTTÝFAKI;CUMHUR ÝTTÝFAKI;EMEK VE ÖZGÜRLÜK ÝTTÝFAKI;MÝLLET ÝTTÝFAKI;ATA ÝTTÝFAKI;BAÐIMSIZ TOPLAM OY
7;ANTALYA;1.907.463;1.704.358;1.661.284;2.015;1.071;2.555;605;1.832;5.627;22.265;10.993;468.369;20.738;163.915;78.461;76.491;1.591;2.318;336;919;809;1.678;1.615;536.008;190.186;4.960;47.322;60;8.213;239;7.895;256;1.942
;Oy Oraný;;;;%0.12;%0.06;%0.15;%0.03;%0.11;%0.33;%1.34;%0.66;%28.19;%1.24;%9.86;%4.72;%4.6;%0.09;%0.13;%0.02;%0.05;%0.04;%0.1;%0.09;%32.26;%11.44;%0.29;%2.84;0%;%0.49;%0.01;%0.47;%0.01;%0.11
75;ARDAHAN;68.134;56.374;53.898;46;78;94;58;382;49;243;186;18.528;532;1.594;11.723;0;132;185;45;94;35;55;83;15.967;2.619;192;570;2;152;24;199;6;25
;Oy Oraný;;;;%0.08;%0.14;%0.17;%0.1;%0.7;%0.09;%0.45;%0.34;%34.37;%0.98;%2.95;%21.75;0%;%0.24;%0.34;%0.08;%0.17;%0.06;%0.1;%0.15;%29.62;%4.85;%0.35;%1.05;0%;%0.28;%0.04;%0.36;%0.01;%0.04
8;ARTVÝN;132.313;117.366;114.073;113;148;403;79;457;161;1.320;438;41.712;2.701;10.857;981;1.716;0;447;28;151;0;96;98;33.932;15.069;438;1.344;9;542;1;576;7;249
;Oy Oraný;;;;%0.09;%0.12;%0.35;%0.06;%0.4;%0.14;%1.15;%0.38;%36.56;%2.36;%9.51;%0.85;%1.5;0%;%0.39;%0.02;%0.13;0%;%0.08;%0.08;%29.74;%13.2;%0.38;%1.17;0%;%0.47;0%;%0.5;0%;%0.21
9;AYDIN;877.145;788.485;768.239;759;701;1.228;343;1.135;2.488;8.870;6.546;213.838;5.570;64.983;55.478;0;0;1.631;288;539;0;1.469;0;272.769;100.533;2.051;17.282;30;3.254;24;4.937;92;1.401
;Oy Oraný;;;;%0.09;%0.09;%0.15;%0.04;%0.14;%0.32;%1.15;%0.85;%27.83;%0.72;%8.45;%7.22;0%;0%;%0.21;%0.03;%0.07;0%;%0.19;0%;%35.5;%13.08;%0.26;%2.24;0%;%0.42;0%;%0.64;%0.01;%0.18
10;BALIKESÝR;990.605;903.269;881.676;1.017;1.106;862;265;691;2.446;10.794;6.069;299.651;18.373;70.651;17.642;10.672;963;0;289;649;0;1.644;0;276.241;130.339;3.242;18.326;20;4.077;51;5.396;113;87
;Oy Oraný;;;;%0.11;%0.12;%0.09;%0.03;%0.07;%0.27;%1.22;%0.68;%33.98;%2.08;%8.01;2%;%1.21;%0.1;0%;%0.03;%0.07;0%;%0.18;0%;%31.33;%14.78;%0.36;%2.07;0%;%0.46;0%;%0.61;%0.01;0%
74;BARTIN;156.092;137.941;131.686;253;272;277;111;117;448;1.184;595;47.457;2.324;30.933;419;0;439;509;106;231;0;229;175;41.680;0;677;1.911;6;1.307;0;1;25;0
;Oy Oraný;;;;%0.19;%0.2;%0.21;%0.08;%0.08;%0.34;%0.89;%0.45;%36.03;%1.76;%23.48;%0.31;0%;%0.33;%0.38;%0.08;%0.17;0%;%0.17;%0.13;%31.65;0%;%0.51;%1.45;0%;%0.99;0%;0%;%0.01;0%
72;BATMAN;400.078;339.912;325.582;150;533;224;81;1.872;0;1.110;995;92.399;3.448;3.675;193.025;0;0;0;405;144;0;124;247;25.765;0;474;0;55;844;4;6;2;0
;Oy Oraný;;;;%0.04;%0.16;%0.06;%0.02;%0.57;0%;%0.34;%0.3;%28.37;%1.05;%1.12;%59.28;0%;0%;0%;%0.12;%0.04;0%;%0.03;%0.07;%7.91;0%;%0.14;0%;%0.01;%0.25;0%;0%;0%;0%
69;BAYBURT;57.170;49.928;49.046;40;27;28;6;14;21;192;360;29.241;1.452;8.122;207;96;55;105;10;28;15;17;27;0;7.980;62;667;10;257;2;0;5;0
;Oy Oraný;;;;%0.08;%0.05;%0.05;%0.01;%0.02;%0.04;%0.39;%0.73;%59.61;%2.96;%16.55;%0.42;%0.19;%0.11;%0.21;%0.02;%0.05;%0.03;%0.03;%0.05;0%;%16.27;%0.12;%1.35;%0.02;%0.52;0%;0%;%0.01;0%
11;BÝLECÝK;167.113;153.699;149.866;196;96;112;34;102;557;1.858;1.291;55.030;4.911;15.251;3.954;1.242;176;385;36;89;0;169;88;39.782;18.467;516;3.382;7;700;9;631;24;771
;Oy Oraný;;;;%0.13;%0.06;%0.07;%0.02;%0.06;%0.37;%1.23;%0.86;%36.71;%3.27;%10.17;%2.63;%0.82;%0.11;%0.25;%0.02;%0.05;0%;%0.11;%0.05;%26.54;%12.32;%0.34;%2.25;0%;%0.46;0%;%0.42;%0.01;%0.51
12;BÝNGÖL;193.535;152.261;144.717;125;199;129;62;659;109;525;783;55.371;14.562;19.401;35.315;0;236;195;39;120;0;94;114;7.467;2.818;337;0;25;1.729;6;82;0;4.215
;Oy Oraný;;;;%0.08;%0.13;%0.08;%0.04;%0.45;%0.07;%0.36;%0.54;%38.26;%10.06;%13.4;%24.4;0%;%0.16;%0.13;%0.02;%0.08;0%;%0.06;%0.07;%5.15;%1.94;%0.23;0%;%0.01;%1.19;0%;%0.05;0%;%2.91
13;BÝTLÝS;221.007;180.958;173.436;180;315;284;110;1.004;232;1.046;561;63.837;3.635;6.161;70.825;0;467;300;122;156;0;142;192;0;22.914;305;0;13;634;0;0;1;0
